Code_Name,Definition,Inclusion_Criteria,Exclusion_Criteria,Example_Excerpts,Number_of_Microtopics
Elon Musk Technology And Economic Influence,Mentions Truth Social and crypto as profit-driven ventures.,Apply when elon musk technology and economic influence is central to the excerpt.,Do not apply when elon musk technology and economic influence appears only in passing.,"{'title': ""Trump's Ethical Erosion vs. Carter's Integrity"", 'description': 'The posts contrast Jimmy Carter’s decision to sell his peanut farm to avoid conflicts of interest with Donald Trump’s continued profiting from his businesses, including Truth Social and crypto ventures, amid appointments like Devin Nunes to key intelligence roles. The recurring theme highlights a stark decline in presidential ethics and accountability.'}; {'title': ""Susie Wiles: Trump's Gatekeeper and Power Broker"", 'description': 'The posts center on Susie Wiles, Donald Trump’s newly appointed White House chief of staff, highlighting her role in enforcing discipline, limiting access to Trump, and managing internal conflicts—particularly with Elon Musk—while facing scrutiny over her lobbying past and the contradictions in Trump’s anti-lobbyist rhetoric. Her appointment marks a shift toward control and structure in the incoming administration.'}; {'title': 'Trump and Musk Target CFPB', 'description': 'The Trump administration and Elon Musk are moving to dismantle the Consumer Financial Protection Bureau (CFPB), halting its operations and cutting funding. Critics argue this undermines consumer protections, especially for vulnerable Americans, while benefiting powerful corporations and billionaires.'}; {'title': 'Bill Gates and Trump: A Controversial Alliance', 'description': ""A cluster of posts critiques Bill Gates' recent positive remarks about Donald Trump following a high-profile dinner, questioning his judgment and motives. Many express disbelief and concern over Gates' apparent admiration for Trump, especially given Trump's controversial record and the broader trend of billionaires aligning with him for influence.""}; {'title': 'Trump Guitars Cease and Desist', 'description': ""A cluster of posts reacting to Gibson Guitars issuing a cease and desist against Trump-backed guitars for infringing on the Les Paul trademark. The posts criticize the high prices, poor quality, and perceived scam, highlighting the controversy around Trump's latest merchandise venture.""}",187
Military Violence And Gun Policy,"Criticism of conduct involving military dead, veterans, and Arlington Cemetery.",Apply when military violence and gun policy is central to the excerpt.,Do not apply when military violence and gun policy appears only in passing.,"{'title': ""Trump's Arlington Visit Controversy"", 'description': ""The posts center on widespread criticism of Donald Trump's visit to Arlington National Cemetery, highlighting allegations of staff misconduct, violation of federal rules, disrespect toward fallen soldiers, and political exploitation. The incident has sparked outrage over Trump's history of disparaging veterans and his campaign's alleged use of the cemetery for a photo op, drawing condemnation from military veterans, officials, and the public.""}; {'title': ""MAGA's Celebration of Acquitted Killers"", 'description': ""The posts critique the Republican Party's embrace of white men acquitted in high-profile killings of Black individuals, including Daniel Penny and Kyle Rittenhouse. They highlight the normalization of vigilantism, racial injustice, and the political exploitation of these cases by figures like Trump and JD Vance.""}; {'title': 'Trump and the Gun Confiscation Fear', 'description': 'The posts express widespread concern that Donald Trump, if re-elected, will attempt to confiscate firearms from American citizens, framing it as a step toward authoritarianism. The cluster reflects anxiety over the contradiction between Trump’s public support for gun rights and fears that he will ultimately disarm the populace to consolidate power.'}; {'title': 'Joni Ernst Under MAGA Pressure', 'description': ""Posts criticize Senator Joni Ernst for reversing her opposition to Pete Hegseth's defense secretary nomination amid intense pressure from Trump and MAGA allies, accusing her of prioritizing political survival over principle, integrity, and her duty to military women and national security.""}; {'title': ""Trump's Expensive Deportation Flights"", 'description': 'The posts criticize the Trump administration for using costly military aircraft to deport immigrants, highlighting exorbitant expenses—up to $852,000 per flight—compared to affordable commercial charters. Widespread outrage is fueled by reports of inhumane treatment, including shackling of deportees, and diplomatic backlash from countries like India, Brazil, and Colombia.'}",168
Russia Ukraine Conflict And International Affairs,U.S.-Russia interaction involving Putin and alleged aid.,Apply when russia ukraine conflict and international affairs is central to the excerpt.,Do not apply when russia ukraine conflict and international affairs appears only in passing.,"{'title': 'Trump Sent COVID Tests to Putin Amid U.S. Shortage', 'description': 'Posts allege that during the 2020 pandemic, Donald Trump secretly sent scarce COVID-19 testing machines to Vladimir Putin, despite a critical shortage in the U.S. The claim, based on journalist Bob Woodward’s book, is confirmed by the Kremlin and criticized as a betrayal of American citizens.'}; {'title': 'Taiwan Under Trump: Uncertainty and Geopolitical Risk', 'description': ""The posts reflect widespread concern over Taiwan's security under a potential second Trump administration, with fears that Trump's transactional foreign policy and demands for payment could lead to reduced U.S. support, emboldening China. Discussions center on Taiwan's defense spending, U.S.-China tensions, and the risk of a Chinese invasion amid perceived American disengagement.""}; {'title': ""Trump's War Promises: Peace or Provocation?"", 'description': ""These posts critique Donald Trump's contradictory claims about ending wars, highlighting skepticism over his 'anti-war' rhetoric and fears that his foreign policy could escalate global conflicts, including the potential for World War III.""}; {'title': 'Trump, Musk, and Putin: The Puppet Master Triumvirate', 'description': 'These posts allege a deep, coordinated alliance between Donald Trump, Elon Musk, and Vladimir Putin, portraying them as interconnected figures where Trump and Musk are manipulated or controlled by Putin. The narrative suggests a conspiracy involving blackmail, foreign influence, and the erosion of U.S. democracy through a shadowy, Russia-backed power structure.'}; {'title': ""Trump's Syria Policy and Assad's Fall"", 'description': ""The posts center on reactions to Donald Trump's calls for U.S. non-intervention in Syria, the rapid collapse of Bashar al-Assad's regime, and widespread criticism of Trump's past abandonment of Kurdish allies. Many accuse Trump of enabling Russian and Turkish influence, betraying U.S. partners, and potentially paving the way for Assad's return under a Trump administration.""}",132
Pardons And Criminal Justice,"Focuses on conviction, sentencing, and reinstatement after contempt of Congress.",Apply when pardons and criminal justice is central to the excerpt.,Do not apply when pardons and criminal justice appears only in passing.,"{'title': 'Trump Reinstates Convicted Aide Navarro', 'description': 'Peter Navarro, convicted of contempt of Congress for defying a Jan. 6 committee subpoena, was sentenced to four months in prison and has now been reappointed by Donald Trump as Senior Counselor for Trade and Manufacturing, reigniting debate over accountability and loyalty within the Trump administration.'}; {'title': 'Adams Under Indictment, Seeking Trump Pardon', 'description': ""New York City Mayor Eric Adams, facing federal corruption charges, has drawn intense scrutiny for cultivating ties with Donald Trump, raising concerns about political quid pro quo. Posts allege he may be trading cooperation on immigration and law enforcement for a potential pardon, undermining NYC's sanctuary policies and democratic integrity.""}; {'title': 'Luigi Mangione: Symbol of Systemic Frustration', 'description': 'The posts revolve around the public reaction to Luigi Mangione, the suspect in the murder of UnitedHealthcare CEO Brian Thompson. Many view him as a symbol of widespread anger toward corporate greed, healthcare inequality, and political hypocrisy—especially in contrast to how figures like Trump are treated. The discourse highlights deep societal divides and critiques of justice, accountability, and the commodification of suffering.'}; {'title': 'Trump Pardons Anti-Abortion Extremists', 'description': 'President Trump pardoned 23 anti-abortion activists convicted of blocking clinic entrances, assaulting staff, and intimidating patients. The move, paired with a DOJ directive to limit enforcement of the FACE Act, signals strong support for extremist actions against reproductive health care access.'}; {'title': 'Trump, Kushner, and Saudi Oil Money', 'description': ""The posts expose a web of alleged corruption involving Donald Trump, Jared Kushner, and Saudi Arabia, highlighting foreign investments, business deals, and the controversial $2 billion investment in Kushner's firm linked to the crown prince implicated in Jamal Khashoggi's murder.""}",126
National Security,Senior national security appointment and clearance concerns.,Apply when national security is central to the excerpt.,Do not apply when national security appears only in passing.,"{'title': ""Trump's Controversial Counterterrorism Pick"", 'description': ""Sebastian Gorka, a far-right commentator with ties to a Nazi-linked Hungarian group and Islamophobic views, has been appointed to a senior national security role in Trump's second administration. His nomination has sparked widespread criticism over his extremist affiliations, lack of expertise, and history of failing security clearance.""}; {'title': 'Trump Fires First Female Coast Guard Commandant', 'description': ""Admiral Linda Fagan, the first woman to lead a branch of the U.S. military, was abruptly fired and evicted from her home with only three hours' notice. The move, cited as punishment for her support of DEI policies, is seen as a politically motivated purge targeting women and diversity advocates in the military.""}; {'title': ""Trump's 'Iron Dome for America' Plan"", 'description': ""The posts center on criticism and skepticism toward Donald Trump's proposal to create a U.S. missile defense system modeled after Israel's Iron Dome. Many highlight the plan's impracticality, high cost, and misunderstanding of the system's purpose, suggesting it's more about political theater than real national security.""}; {'title': ""Trump's Security Detail Controversy"", 'description': ""The posts center on public outrage over former President Trump's continued Secret Service protection, questioning the fairness, cost, and political motivations behind it. Many argue he should pay for his own security or lose it entirely, especially given his past actions and rhetoric.""}; {'title': ""Trump's Afghanistan Deal and Aftermath"", 'description': ""The posts center on criticism of Donald Trump's 2020 peace deal with the Taliban, which included releasing 5,000 prisoners and excluding the Afghan government, leading to the Taliban's takeover. Many blame Trump for setting the stage for the chaotic withdrawal and subsequent humanitarian crisis, with ongoing claims of political retaliation against military officials involved.""}",117
National Security And Federal Agencies,Concerns Homeland Security leadership and agency oversight.,Apply when national security and federal agencies is central to the excerpt.,Do not apply when national security and federal agencies appears only in passing.,"{'title': ""Trump's DHS Pick: Noem Controversy"", 'description': 'The posts center on the confirmation of Kristi Noem as Homeland Security Secretary under Donald Trump, highlighting widespread criticism over her lack of experience, her controversial dog-killing incident, poor disaster response in South Dakota, and her hardline immigration stance. Many express concern over her loyalty to Trump and the implications for civil liberties and government accountability.'}; {'title': 'Secret Service Targets 11-Year-Old Over Anti-Trump Video', 'description': ""Federal agents, initially mistaken for ICE, were denied entry to a Chicago elementary school after arriving to investigate an 11-year-old student who posted an anti-Trump video online. The incident has sparked widespread concern over government overreach and the targeting of children's free speech.""}; {'title': 'Trump Plans to Dismantle FDIC', 'description': ""Posts express widespread concern over reports that Donald Trump's transition team is exploring ways to eliminate the FDIC, the agency that protects depositors' savings up to $250,000. Critics warn this move would destabilize the banking system, risk mass bank runs, and mark a dangerous rollback of New Deal-era financial safeguards.""}; {'title': ""Trump's Obsession with Kim Jong Un"", 'description': ""The posts revolve around Donald Trump's repeated claims of a personal bond with North Korean leader Kim Jong Un, including references to 'love letters' and admiration for his authoritarian style. Critics highlight the dangerous normalization of dictators and fear Trump's rhetoric could undermine U.S. alliances and foreign policy.""}; {'title': 'Iran Allegedly Plotted to Kill Trump', 'description': 'Multiple posts detail U.S. allegations of an Iranian murder-for-hire plot targeting Donald Trump before the 2024 election, including criminal charges, intelligence warnings, and Trump’s vow to obliterate Iran if he were assassinated. Iran denies the claims, while tensions escalate over the alleged threat.'}",113
Epstein Files,Criticism frames declassification as distraction from withheld Epstein documents.,Apply when epstein files is central to the excerpt.,Do not apply when epstein files appears only in passing.,"{'title': ""Trump's JFK Files Release: A Distraction?"", 'description': ""Trump signed an executive order to declassify files on the assassinations of JFK, RFK, and MLK Jr., but critics argue it's a strategic move to divert attention from unredacted documents, particularly the Epstein files, which remain withheld due to potential implications for Trump himself.""}; {'title': 'Trump Redactions Dominating Document Releases', 'description': 'The posts collectively highlight widespread redactions in official documents, with a strong consensus that nearly every redacted section refers to Donald Trump or his associates. Users speculate that the extensive redaction process is due to the sheer volume of Trump-related content, suggesting deliberate efforts to obscure his involvement.'}; {'title': ""Trump's Flyover Disrupts Epstein Survivors' Press Conference"", 'description': 'A military flyover orchestrated by Donald Trump coincided with a press conference by Jeffrey Epstein survivors, drawing widespread criticism as a deliberate act of intimidation. Critics argue the timing and nature of the flyover suggest an attempt to silence victims and conceal the truth behind the Epstein scandal.'}; {'title': 'QAnon Shaman Turns on Trump Over Epstein', 'description': ""The QAnon Shaman, Jake Angeli (formerly Jake Chansley), a prominent figure in the January 6 Capitol riot and a Trump pardonee, has publicly denounced Donald Trump as a 'fraud' and 'stupid piece of s—', citing Trump's handling of the Jeffrey Epstein case. This dramatic shift signals a major rift within Trump's most loyal base.""}; {'title': ""John Paulson in Epstein's Black Book"", 'description': 'Republican Representative Thomas Massie alleges billionaire GOP donor John Paulson, a major fundraiser for Donald Trump and Speaker Mike Johnson, was listed in Jeffrey Epstein’s contact book. Massie claims Paulson is funding attacks against him and that the Trump administration is suppressing Epstein files to protect powerful donors.'}",101
Republican Party,Political support and backlash tied to Trump and his voters.,Apply when republican party is central to the excerpt.,Do not apply when republican party appears only in passing.,"{'title': ""Trump's U.S. Steel Deal U-Turn Sparks Union Backlash"", 'description': 'Posts highlight the backlash from Pennsylvania steelworkers who supported Trump, only to be shocked when he opposed the Nippon Steel acquisition of U.S. Steel. Despite promises of investment, the reversal has fueled outrage over broken pledges and political hypocrisy.'}; {'title': 'Trump on Mount Rushmore: Bill Sparks Outrage', 'description': ""A bill introduced by Florida Representative Anna Paulina Luna to carve Donald Trump's face onto Mount Rushmore has ignited widespread criticism and mockery, with opponents calling it absurd, dangerous, and historically inappropriate. The proposal has become a symbol of what many see as the extreme and unserious direction of some MAGA-aligned politics.""}; {'title': 'Harris Outraises Trump in 2024 Fundraising Race', 'description': ""The posts center on Kamala Harris' overwhelming fundraising success in the 2024 presidential campaign, highlighting her $1.5 billion haul—significantly outpacing Donald Trump’s totals. Despite this financial edge, debates continue over spending efficiency, donor influence, and the broader implications for the election outcome.""}; {'title': ""Fetterman's Shift Sparks Democratic Backlash"", 'description': ""A wave of outrage among Democrats follows Sen. John Fetterman's meetings with Donald Trump and his apparent embrace of MAGA-aligned positions, with critics accusing him of betrayal, opportunism, and compromising his progressive principles.""}; {'title': ""JD Vance: Trump's Controversial Shadow"", 'description': ""The posts revolve around speculation about JD Vance's role as Trump's vice-presidential pick, his perceived loyalty, and the growing belief that he is being groomed as a successor. Many view him as a politically opportunistic figure lacking a cult following, with concerns that he may replace Trump after his departure, either through design or betrayal.""}",89
Canada U S Relations And Sovereignty,Mentions Canada and other allies potentially restricting Trump's travel entry.,Apply when canada u s relations and sovereignty is central to the excerpt.,Do not apply when canada u s relations and sovereignty appears only in passing.,"{'title': ""Trump's Travel Restrictions as a Convicted Felon"", 'description': 'Posts discuss the potential international travel bans facing Donald Trump due to his felony conviction, highlighting that numerous countries, including allies like Canada, the UK, and Australia, restrict entry to convicted felons. While his presidential status may grant diplomatic immunity, many speculate that global leaders could enforce immigration laws, limiting his ability to travel abroad.'}; {'title': ""Trump's Trade Deficit Misconception"", 'description': ""The posts debunk Donald Trump's claim that the U.S. subsidizes Canada by $100 billion annually, clarifying that a trade deficit is not a subsidy but a result of normal market exchange. They emphasize that the U.S. actually runs a trade surplus in services and that the goods deficit is largely driven by American demand for Canadian oil.""}; {'title': 'Denmark Stands Up to Trump', 'description': ""A cluster of posts highlights Denmark's defiant response to Donald Trump's aggressive rhetoric, including a Danish MEP telling him to 'fuck off' and concerns over U.S.-Denmark relations. The reactions reflect broader anxiety about Trump's impact on NATO allies and global diplomacy.""}; {'title': ""Trump's 25% Steel and Aluminum Tariffs"", 'description': 'President Donald Trump announced plans to impose 25% tariffs on all imported steel and aluminum, affecting major trading partners like Canada, Mexico, and the EU. The move is part of a broader trade strategy involving reciprocal tariffs and has sparked global concern over potential trade wars and economic fallout.'}; {'title': ""Trump's Threats to Invade Mexico Over Cartels"", 'description': ""Posts detail growing concerns over Donald Trump's reported plans to designate Mexican drug cartels as terrorist organizations and potentially launch military operations inside Mexico. Experts warn these actions could spark a dangerous escalation, destabilize U.S.-Mexico relations, and provoke violent retaliation.""}",82
Epstein Files And Political Controversies,Mentions Epstein-linked secrets and sexual misconduct scandals.,Apply when epstein files and political controversies is central to the excerpt.,Do not apply when epstein files and political controversies appears only in passing.,"{'title': ""Trump's Alleged Blackmail Network"", 'description': 'The posts revolve around the widespread belief that Donald Trump uses blackmail—particularly involving sexual misconduct, Epstein-linked secrets, and drug scandals—to control Republican politicians, media figures, and powerful elites. Many speculate that Trump leverages compromising material to maintain loyalty and political power, framing blackmail as a central tool of his influence.'}; {'title': ""Trump's Alleged Pageant Room Intrusions"", 'description': ""Multiple accounts and Trump's own admissions describe him entering teenage beauty pageant dressing rooms while contestants were changing, which critics label as predatory behavior. The posts highlight recurring claims of inappropriate conduct, including bragging about such actions on national radio and allegations from former contestants.""}; {'title': 'Trump, Epstein, and Allegations of Sexual Abuse', 'description': 'The posts center on recurring allegations linking Donald Trump to Jeffrey Epstein, accusing Trump of being a pedophile, rapist, and sexual predator. They emphasize his alleged close relationship with Epstein, the release of tapes and documents, and the appointment of individuals with sexual misconduct histories to his administration, framing these as evidence of a pattern of predatory behavior and systemic cover-up.'}; {'title': ""Lindsey Graham's Trump Loyalty Under Scrutiny"", 'description': 'The posts collectively criticize Senator Lindsey Graham for his perceived unwavering support of Donald Trump, accusing him of hypocrisy, political cowardice, and being under blackmail. Many speculate about hidden compromising material (kompromat), particularly related to sexuality, while highlighting his dramatic shift from early criticism of Trump to fervent defense.'}; {'title': 'Trump, Epstein, and the Hidden Files', 'description': ""These posts revolve around the ongoing controversy over the release of the Jeffrey Epstein files, with a focus on Donald Trump's alleged close ties to Epstein, suspicions of obstruction, and the perception that the released documents were a political stunt. Many users express frustration over the lack of transparency and believe Trump is using the situation to deflect scrutiny.""}",78
